EventID,OT,Latitude,Longitude,Depth,Magnitude,EvType
1,2015-09-12 20:32:27.000,-32.6,-178,8,5.9,earthquake
2,2015-09-13 07:40:36.600,24.9,-109.7,10,5.3,earthquake
3,2015-09-13 07:57:33.500,24.8,-109.5,10,5.6,earthquake
4,2015-09-13 08:14:08.600,24.9,-109.6,10,6.7,earthquake
5,2015-09-13 08:27:12.400,25,-109.7,10,5.2,earthquake
6,2015-09-16 07:40:58.700,1.9,126.4,41.6,6.3,earthquake
7,2015-09-16 13:08:59.100,24.3,121.8,16.7,5.2,earthquake
8,2015-09-16 14:03:22.100,-6,151.5,6,6.1,earthquake
9,2015-09-16 22:54:32.900,-31.6,-71.7,22.4,8.3,earthquake
10,2015-09-16 23:31:49.800,-30,-71.8,35,5.3,earthquake
11,2015-09-17 00:00:14.500,-31.7,-72,10,5,earthquake
12,2015-09-17 00:22:20.500,-31.8,-72.1,10,5.2,earthquake
13,2015-09-17 00:43:14.100,-31.1,-71.8,11.6,5.1,earthquake
14,2015-09-17 01:21:48.700,-31.7,-71.9,10,5.2,earthquake
15,2015-09-17 01:46:25.700,-31.9,-72.1,10,5,earthquake
16,2015-09-17 02:21:05.500,-32,-72.9,10,5,earthquake
17,2015-09-17 03:12:42.000,-30.9,-71.3,47.1,5.2,earthquake
18,2015-09-17 04:10:27.800,-31.5,-71.8,23,6.7,earthquake
19,2015-09-17 04:38:08.100,-31.3,-71.9,19.8,5.2,earthquake
20,2015-09-17 05:44:40.000,-31.8,-72.1,10,5.5,earthquake
21,2015-09-18 09:10:44.700,-32.4,-72.2,8,6.2,earthquake
22,2015-09-18 15:59:42.600,15.3,-46,10,6,earthquake
23,2015-09-19 12:52:20.900,-32.3,-72.1,18,6.2,earthquake
24,2015-09-21 05:39:34.900,-31.6,-71.7,30,6.1,earthquake
25,2015-09-21 17:40:00.100,-31.7,-71.4,35,6.6,earthquake
26,2015-09-21 18:36:53.500,-31,-71.8,26.9,5.5,earthquake
27,2015-09-24 13:48:58.500,50.8,-130.2,10,5.7,earthquake
28,2015-09-24 15:53:27.700,-0.6,131.3,18,6.6,earthquake
29,2015-09-26 02:51:18.800,-30.8,-71.3,46,6.3,earthquake
30,2015-09-26 03:20:47.600,-21,169,15.3,5.4,earthquake
31,2015-09-29 15:02:13.900,17.8,-102.3,19.8,5,earthquake
32,2015-09-30 16:06:52.300,-56.2,-27.7,101,5.7,earthquake
33,2015-09-30 17:25:54.200,18,-101.3,42,5.4,earthquake
34,2015-10-02 15:51:53.300,1.3,125,109.8,5.2,earthquake
35,2015-10-02 16:22:47.000,-30.6,-71.6,32.5,5.1,earthquake
36,2015-10-03 04:14:09.700,-33,-178.3,10,5,earthquake
37,2015-10-03 06:03:42.100,-37.5,-73.7,14.5,5.8,earthquake
38,2015-10-03 06:26:55.800,-30.3,-71.6,38,5.9,earthquake
39,2015-10-05 16:33:26.800,-30.3,-71.5,34,5.9,earthquake
40,2015-10-09 18:27:36.700,-31.7,-71.7,35,5.5,earthquake
41,2015-10-10 07:31:07.600,-19.1,169.5,257,5.1,earthquake
42,2015-10-10 09:04:01.000,-8,107.4,35,5.2,earthquake
43,2015-10-11 00:58:27.200,-54.5,-135.7,10,6.1,earthquake
44,2015-10-11 13:32:02.900,46.7,152.5,64.2,5,earthquake
45,2015-10-12 03:31:32.300,-31.2,-71.8,19.6,5,earthquake
46,2015-10-12 04:35:40.800,7.5,-77.5,10,5.2,earthquake
47,2015-10-12 07:23:25.800,11.9,57.8,10,5.2,earthquake
48,2015-10-12 08:05:01.600,-40.6,176.3,22,5.6,earthquake
49,2015-10-12 10:04:16.000,34.3,98.2,11.4,5.1,earthquake
50,2015-10-14 05:43:08.300,48.9,156.2,12,6,earthquake
51,2015-10-18 16:18:35.500,-16.2,-173.3,12,6,earthquake
52,2015-10-20 20:33:12.100,-57.4,-65.9,9.1,5.6,earthquake
