id,time,lat,lon,depth,mag,event-type
us10002x1x,2015-08-01T03:38:44.590,-25.3430,154.3348,9.0,5.4,earthquake
us10002x2n,2015-08-01T04:46:24.830,-25.4093,154.1987,10.0,5.2,earthquake
us10002x3v,2015-08-01T11:30:21.410,-30.0726,-68.2820,10.0,5.2,earthquake
us10002x96,2015-08-02T05:29:33.320,-48.2073,-9.8649,10.0,5.3,earthquake
us10002xaf,2015-08-02T13:08:46.020,8.1761,123.8546,602.9,5.2,earthquake
us10002xc9,2015-08-02T20:04:10.570,18.3940,146.6099,46.2,5.3,earthquake
us10002xe9,2015-08-03T05:30:11.290,37.7836,141.5287,43.1,5,earthquake
us10002xfm,2015-08-03T09:41:53.590,-10.7474,161.8994,32.7,5.4,earthquake
us10002xg2,2015-08-03T13:16:03.440,27.3983,65.9087,28.6,5.3,earthquake
us10002xg5,2015-08-03T14:01:52.680,-16.4701,-174.3557,176.0,5.7,earthquake
us10002xh2,2015-08-03T16:41:06.610,-5.2339,152.6042,24.2,5.3,earthquake
us10002xl5,2015-08-03T19:55:39.920,4.6798,95.1216,47.0,5,earthquake
us10002xw8,2015-08-04T16:38:28.360,-11.1729,166.9444,35.8,5.2,earthquake
us10002y07,2015-08-04T23:21:10.300,-27.2584,-175.7887,10.0,5.3,earthquake
us10002y1z,2015-08-05T09:13:24.190,16.1408,-93.6640,100.8,5.7,earthquake
us10002y24,2015-08-05T09:24:11.790,-22.0226,-174.4078,64.1,5,earthquake
us10002z14,2015-08-06T05:05:49.930,-9.7758,115.9399,35.2,5.3,earthquake
us10002z24,2015-08-06T09:22:29.530,36.4517,140.5954,52.8,5.2,earthquake
us10002z2g,2015-08-06T10:08:54.800,1.0048,98.9226,77.9,5.1,earthquake
us10002z3h,2015-08-06T13:10:27.750,-53.4300,23.7482,10.0,5.1,earthquake
us10002zye,2015-08-06T21:36:58.220,0.8122,-28.5361,10.0,5,earthquake
us10002zz0,2015-08-06T23:59:46.290,-26.4576,-178.2511,269.0,6,earthquake
us10002zzn,2015-08-07T01:25:02.540,-2.1412,28.8973,11.0,5.8,earthquake
us10002zzr,2015-08-07T01:28:37.120,-2.0913,28.9515,10.0,5.5,earthquake
us10003006,2015-08-07T04:35:01.920,24.0690,-108.9079,5.0,5.3,earthquake
us1000300a,2015-08-07T05:53:57.500,24.1451,-108.5609,10.0,5.3,earthquake
us1000300q,2015-08-07T06:52:20.160,24.0263,-108.8003,10.0,5.2,earthquake
us1000303s,2015-08-07T12:18:48.530,1.0861,-85.2083,10.0,5.6,earthquake
us1000304a,2015-08-07T13:48:31.630,1.0467,-85.2705,6.9,5.6,earthquake
us1000304i,2015-08-07T14:22:14.370,-18.0441,-174.1410,28.5,5.7,earthquake
us10003066,2015-08-07T17:39:28.440,-56.4071,-25.9558,10.0,5,earthquake
us10003090,2015-08-07T18:21:02.150,-16.7791,177.2962,18.2,5.3,earthquake
us1000308w,2015-08-07T18:25:20.490,-16.4259,-173.1111,10.0,5,earthquake
us100030dl,2015-08-08T04:13:41.920,-6.6793,152.0799,42.0,5.2,earthquake
us100030gd,2015-08-08T19:09:34.490,52.4441,-169.6166,41.0,5,earthquake
us100030h5,2015-08-08T21:15:32.280,-13.9107,-14.4656,10.0,5,earthquake
us100030hs,2015-08-09T02:39:55.390,-13.9714,-14.4659,10.0,5.1,earthquake
