w,EqGPStime,lat,lon,depth,Mag
0,2015-11-10 17:48:59.100000,-22.2,-68.7,109.3,5.3
1,2015-09-16 23:32:25.800000,-30.0,-71.8,35.0,5.3
2,2015-09-16 22:55:08.900000,-31.6,-71.7,22.4,8.3
3,2015-09-13 08:14:44.600000,24.9,-109.6,10.0,6.7
4,2015-09-13 08:27:48.400000,25.0,-109.7,10.0,5.2
5,2015-12-07 08:31:32.700000,41.7,74.6,21.5,5.5
6,2015-12-07 07:50:42.600000,38.3,72.8,26.0,7.2
7,2015-09-17 00:00:50.500000,-31.7,-72.0,10.0,5.0
8,2015-09-24 13:49:34.500000,50.8,-130.2,10.0,5.7
9,2015-10-26 09:10:18.600000,36.5,70.4,231.0,7.5
10,2015-11-24 22:46:14.100000,-10.5,-70.9,600.6,7.6
11,2015-11-18 18:31:40.600000,-8.9,158.4,13.4,7.0
12,2015-11-18 18:54:31.800000,-9.0,158.5,10.0,5.1
13,2015-09-17 00:22:56.500000,-31.8,-72.1,10.0,5.2
14,2015-09-17 00:43:50.100000,-31.1,-71.8,11.6,5.1
15,2015-11-13 20:52:07,31.0,128.9,12.0,6.7
16,2015-11-11 01:55:14.500000,-29.5,-72.0,12.0,6.9
17,2015-11-11 02:24:15.300000,-29.5,-71.9,10.0,5.1
18,2015-09-13 07:58:09.500000,24.8,-109.5,10.0,5.6
19,2015-09-17 04:11:03.800000,-31.5,-71.8,23.0,6.7
20,2015-09-17 04:38:44.100000,-31.3,-71.9,19.8,5.2
21,2015-11-07 07:32:19.800000,-30.9,-71.5,46.0,6.8
22,2015-11-07 07:05:07.400000,-29.5,-72.3,13.0,6.2
23,2015-12-09 10:22:26.400000,-4.1,129.5,33.9,6.9
24,2015-11-09 16:04:22.100000,51.6,-173.1,15.0,6.5
25,2015-09-17 01:22:24.700000,-31.7,-71.9,10.0,5.2
26,2015-12-04 22:25:36.100000,-47.6,85.1,35.0,7.1
27,2015-12-17 19:50:29.200000,15.8,-93.6,86.0,6.6
28,2016-01-14 03:26:09.600000,42.0,142.8,46.0,6.7
29,2016-01-14 03:38:54.100000,-8.6,122.9,158.2,5.1
30,2015-09-21 17:40:36.100000,-31.7,-71.4,35.0,6.6
31,2015-11-17 07:10:43.300000,38.7,20.6,11.0,6.5
32,2015-11-11 02:46:55.900000,-29.5,-72.1,10.0,6.9
33,2016-01-11 17:08:40,44.5,141.1,239.9,6.2
34,2016-01-11 16:38:43.100000,3.9,126.9,20.8,6.5
35,2015-10-20 21:52:38.600000,-14.9,167.3,135.0,7.1
36,2015-10-20 20:33:48.100000,-57.4,-65.9,9.1,5.6
37,2015-10-26 10:09:42,-1.5,97.1,21.0,5.1
38,2015-12-24 20:19:18.700000,-3.7,151.3,10.0,5.1
39,2015-12-24 19:44:39.100000,-55.8,-123.1,12.3,6.2
40,2015-11-11 03:08:25,-29.5,-72.1,10.0,5.1
41,2015-09-17 01:47:01.700000,-31.9,-72.1,10.0,5.0
42,2015-12-07 10:05:34.300000,38.6,73.2,19.9,5.4
43,2015-11-26 05:45:54.300000,-9.2,-71.3,599.4,6.7
44,2015-12-23 16:55:45.900000,-54.2,-1.4,10.0,5.8
45,2015-12-11 03:21:24.800000,-5.0,103.0,48.3,5.1
46,2015-12-11 22:06:12.800000,-47.6,85.2,10.0,5.0
47,2015-12-23 22:28:54.500000,-17.3,-173.7,10.0,5.3
48,2015-11-18 16:47:43.900000,-6.3,103.7,33.0,5.1
49,2015-12-09 11:16:05.200000,-4.3,129.7,25.5,5.2
50,2016-01-18 03:21:14.800000,17.1,-84.6,10.0,5.4
51,2015-10-18 16:19:11.500000,-16.2,-173.3,12.0,6.0
52,2015-09-17 03:13:18,-30.9,-71.3,47.1,5.2
53,2015-11-13 12:55:14.400000,17.3,147.2,10.0,5.1
54,2015-12-23 15:37:29.500000,-21.0,168.3,9.3,5.1
55,2015-12-10 18:56:07.900000,-5.4,129.4,254.4,5.0
56,2015-11-23 20:41:57.500000,17.0,-98.9,34.0,5.6
57,2015-12-06 17:10:05.300000,-18.2,-178.7,547.0,5.6
58,2016-01-01 02:01:15.900000,-50.6,139.4,10.0,6.3
59,2015-12-07 02:55:15.700000,-17.7,-174.4,10.0,5.2
60,2015-12-23 16:18:27.600000,45.1,-28.0,10.0,5.0
61,2015-11-13 12:22:13,17.3,147.2,16.0,5.4
62,2015-12-09 12:58:37.800000,-16.7,175.2,10.0,6.1
63,2015-12-09 12:07:00.200000,-4.1,129.6,22.2,5.2
64,2016-01-17 19:25:52.800000,-38.0,77.9,10.0,5.1
65,2015-09-16 14:03:58.100000,-6.0,151.5,6.0,6.1
66,2015-12-07 01:47:44.500000,-30.1,-177.6,32.5,5.4
67,2016-01-17 17:06:14.400000,-26.4,-70.9,36.9,5.0
68,2015-12-06 19:17:13,-48.2,-10.1,10.0,5.0
69,2015-11-04 03:44:51.200000,-8.3,124.9,20.0,6.5
70,2015-12-13 06:42:45.100000,-6.9,129.9,76.8,5.4
71,2015-12-06 04:03:44.200000,-7.2,155.0,11.1,5.3
72,2016-01-03 23:05:58.100000,24.8,93.7,55.0,6.7
73,2015-12-23 10:09:25.800000,-6.9,155.1,34.1,5.0
74,2015-11-13 06:55:25.100000,-8.5,-75.9,117.6,5.0
75,2016-01-16 23:23:05,-3.9,127.2,4.1,5.6
76,2015-12-10 12:05:50.700000,-58.9,-23.9,10.0,5.7
77,2015-11-14 05:26:11.500000,7.2,-34.3,10.0,5.3
78,2015-12-03 15:55:51.100000,-34.0,-109.3,14.7,5.0
79,2015-09-17 02:21:41.500000,-32.0,-72.9,10.0,5.0
80,2015-09-24 15:54:03.700000,-0.6,131.3,18.0,6.6
81,2015-12-09 21:53:18.200000,-37.7,51.3,10.0,5.3
82,2016-01-07 15:41:19.100000,-41.7,-74.1,24.1,5.0
83,2015-11-13 06:04:53.200000,-29.9,-64.5,27.0,5.6
84,2015-11-08 16:47:38.200000,6.8,94.6,10.0,6.6
85,2015-12-09 19:18:14.300000,38.4,72.9,10.0,5.0
86,2016-01-16 22:38:42.500000,-8.5,156.5,10.0,5.1
87,2015-12-13 01:47:41.400000,3.5,127.4,10.0,5.3
88,2015-12-09 14:57:34,-4.1,129.5,10.0,5.4
89,2015-11-09 17:03:42.900000,18.0,147.0,48.8,5.0
90,2016-01-17 15:30:39.500000,-5.4,130.2,131.8,5.2
91,2015-10-11 00:59:03.200000,-54.5,-135.7,10.0,6.1
92,2015-12-10 15:04:02.400000,-17.0,175.3,16.2,5.1
