w,EqGPStime,lat,lon,depth,Mag
0,2015-09-16 22:55:08.900000,-31.6,-71.7,22.4,8.3
1,2015-09-16 23:10:02.200000,-31.6,-71.7,35.0,5.7
2,2015-09-13 08:14:44.600000,24.9,-109.6,10.0,6.7
3,2015-09-13 08:27:48.400000,25.0,-109.7,10.0,5.2
4,2015-09-16 23:24:01.700000,-31.2,-71.8,32.1,5.7
5,2015-12-07 07:50:42.600000,38.3,72.8,26.0,7.2
6,2015-12-07 08:31:32.700000,41.7,74.6,21.5,5.5
7,2015-09-16 23:38:37.700000,-31.8,-72.0,12.5,5.9
8,2015-11-24 22:51:29.800000,-10.0,-71.0,611.7,7.6
9,2015-09-17 00:00:50.500000,-31.7,-72.0,10.0,5.0
10,2015-12-17 19:50:29.200000,15.8,-93.6,86.0,6.6
11,2015-10-26 09:10:18.600000,36.5,70.4,231.0,7.5
12,2015-09-17 00:22:56.500000,-31.8,-72.1,10.0,5.2
13,2015-11-18 18:31:40.600000,-8.9,158.4,13.4,7.0
14,2015-11-13 20:52:07,31.0,128.9,12.0,6.7
15,2015-10-26 10:09:42,-1.5,97.1,21.0,5.1
16,2015-09-17 00:43:50.100000,-31.1,-71.8,11.6,5.1
17,2015-09-17 01:33:38.600000,-31.7,-72.0,9.3,5.8
18,2015-12-14 01:46:34.800000,-4.1,129.5,10.0,5.6
19,2015-10-26 13:12:34.800000,-18.0,-178.4,562.9,5.1
20,2015-10-26 01:42:08.300000,-25.2,178.7,546.0,5.0
21,2015-10-26 14:39:34.300000,-18.0,-69.5,115.7,5.0
22,2015-12-04 22:25:36.100000,-47.6,85.1,35.0,7.1
23,2015-11-11 02:01:41.900000,-29.6,-72.1,10.0,5.1
24,2015-11-07 07:05:07.400000,-29.5,-72.3,13.0,6.2
25,2015-11-07 07:32:19.800000,-30.9,-71.5,46.0,6.8
26,2015-09-24 13:49:34.500000,50.8,-130.2,10.0,5.7
27,2015-09-13 07:58:09.500000,24.8,-109.5,10.0,5.6
28,2015-12-28 19:24:51.500000,-0.5,-20.0,10.0,5.1
29,2015-12-28 14:40:03.800000,-5.2,152.8,10.0,5.2
30,2015-11-17 07:10:43.300000,38.7,20.6,11.0,6.5
31,2015-11-18 16:47:43.900000,-6.3,103.7,33.0,5.1
32,2015-09-17 01:47:01.700000,-31.9,-72.1,10.0,5.0
33,2015-11-09 16:04:22.100000,51.6,-173.1,15.0,6.5
34,2015-12-28 16:26:41,-3.8,128.4,51.0,5.2
35,2015-12-09 10:22:26.400000,-4.1,129.5,33.9,6.9
36,2015-12-09 11:16:05.200000,-4.3,129.7,25.5,5.2
37,2015-09-21 17:40:36.100000,-31.7,-71.4,35.0,6.6
38,2015-11-26 05:45:54.300000,-9.2,-71.3,599.4,6.7
39,2015-09-17 04:11:03.800000,-31.5,-71.8,23.0,6.7
40,2015-09-17 03:55:42.900000,-31.1,-71.3,35.0,6.5
41,2015-12-31 10:57:34.100000,11.2,-86.6,20.0,5.8
42,2015-11-11 00:27:33.800000,6.2,147.6,13.0,5.6
43,2015-09-26 02:51:54.800000,-30.8,-71.3,46.0,6.3
44,2015-11-08 16:47:38.200000,6.8,94.6,10.0,6.6
45,2015-12-29 01:52:17.900000,-6.3,154.8,28.7,5.8
46,2015-11-08 15:41:32.400000,48.4,154.8,49.5,5.2
47,2015-11-08 10:46:53.500000,51.5,-172.9,16.0,5.6
48,2015-11-08 09:35:33.300000,0.8,98.9,69.0,5.7
49,2015-11-08 11:55:15.300000,6.8,94.6,10.1,5.1
50,2015-11-08 13:24:23.800000,6.8,94.5,9.8,5.2
51,2015-11-11 02:46:55.900000,-29.5,-72.1,10.0,6.9
52,2015-11-11 02:24:15.300000,-29.5,-71.9,10.0,5.1
53,2015-11-08 08:14:13.400000,-17.3,-69.4,159.9,5.7
54,2016-01-03 23:05:58.100000,24.8,93.7,55.0,6.7
55,2015-10-20 21:52:38.600000,-14.9,167.3,135.0,7.1
56,2015-11-08 14:34:41.400000,6.7,94.4,10.0,5.1
57,2015-09-17 03:13:18,-30.9,-71.3,47.1,5.2
58,2015-09-17 04:27:15,-31.4,-72.0,17.6,5.5
59,2015-11-08 11:33:50.600000,51.5,-173.0,20.0,5.7
60,2015-12-28 06:56:06,14.6,-61.4,152.9,5.6
61,2015-12-07 22:54:11.100000,14.2,-90.9,84.0,5.7
62,2015-10-27 11:05:34.400000,-16.6,66.5,10.0,5.4
63,2015-12-29 02:54:42,6.9,-76.7,5.7,5.0
64,2016-01-11 16:38:43.100000,3.9,126.9,20.8,6.5
65,2016-01-17 17:06:14.400000,-26.4,-70.9,36.9,5.0
66,2016-01-17 08:30:59.700000,19.7,-76.1,10.0,5.2
67,2016-01-17 15:30:39.500000,-5.4,130.2,131.8,5.2
68,2016-01-17 19:25:52.800000,-38.0,77.9,10.0,5.1
69,2015-10-27 12:15:57.300000,-16.3,67.1,10.0,5.3
70,2015-10-27 13:15:41,27.4,66.0,10.0,5.0
71,2015-11-16 00:40:09.500000,17.8,-81.8,6.7,5.8
72,2015-11-08 19:15:23.400000,7.0,94.5,10.0,5.6
73,2015-12-20 18:48:11.500000,3.6,117.6,6.9,6.1
74,2016-01-17 08:18:10.700000,19.8,-76.1,10.0,5.1
75,2016-01-14 03:26:09.600000,42.0,142.8,46.0,6.7
76,2015-12-20 22:05:10.900000,-6.3,154.7,52.9,5.0
77,2015-09-18 16:00:18.600000,15.3,-46.0,10.0,6.0
78,2015-09-24 15:54:03.700000,-0.6,131.3,18.0,6.6
79,2015-11-27 00:53:30.500000,-9.3,-71.1,616.0,5.1
80,2016-01-18 03:21:14.800000,17.1,-84.6,10.0,5.4
81,2015-11-11 03:08:25,-29.5,-72.1,10.0,5.1
82,2015-10-25 14:59:33.700000,-29.3,-177.8,10.0,5.8
